Date,Time,HostCPU%,HostMem%,Bytes_Sent,Bytes_Recv,Packets_Sent,Packets_Recv,Clients
10/9/19,22:27:32,7.1,1.4,0,0,0,0,1
10/9/19,22:27:33,0,1.4,0,64,0,1,1
10/9/19,22:27:34,0.1,1.4,0,187,0,2,1
10/9/19,22:27:35,0,1.4,0,64,0,1,1
10/9/19,22:27:36,0,1.4,0,187,0,2,1
10/9/19,22:27:37,0,1.4,0,128,0,2,1
10/9/19,22:27:38,0,1.4,0,187,0,2,1
10/9/19,22:27:39,0.1,1.4,0,709,0,7,1
10/9/19,22:27:40,0,1.4,0,187,0,2,1
10/9/19,22:27:41,0.1,1.4,0,3053,0,13,1
10/9/19,22:27:42,0,1.4,0,315,0,4,1
10/9/19,22:27:43,0.1,1.4,0,128,0,2,1
10/9/19,22:27:44,0.1,1.4,0,251,0,3,1
10/9/19,22:27:45,0,1.4,0,0,0,0,1
10/9/19,22:27:46,0.1,1.4,0,123,0,1,1
10/9/19,22:27:47,0.1,1.4,0,0,0,0,1
10/9/19,22:27:48,0.1,1.4,0,187,0,2,1
10/9/19,22:27:49,0,1.4,0,64,0,1,1
10/9/19,22:27:50,0.1,1.4,0,370,0,2,1
10/9/19,22:27:51,0.1,1.4,0,0,0,0,1
10/9/19,22:27:52,0.1,1.4,0,123,0,1,1
10/9/19,22:27:53,0.1,1.4,0,0,0,0,1
10/9/19,22:27:54,0.1,1.4,0,123,0,1,1
10/9/19,22:27:55,0.1,1.4,0,247,0,1,1
10/9/19,22:27:56,0,1.4,0,123,0,1,1
10/9/19,22:27:57,0.1,1.4,0,0,0,0,1
10/9/19,22:27:58,0.1,1.4,0,123,0,1,1
10/9/19,22:27:59,0,1.4,0,304,0,4,1
10/9/19,22:28:00,0.1,1.4,0,1213,0,8,1
10/9/19,22:28:01,0,1.4,70,247,1,1,1
10/9/19,22:28:02,0.1,1.4,0,123,0,1,1
10/9/19,22:28:03,0,1.4,0,0,0,0,1
10/9/19,22:28:04,0,1.4,0,123,0,1,1
10/9/19,22:28:05,0.1,1.4,0,0,0,0,1
10/9/19,22:28:06,0,1.4,0,123,0,1,1
10/9/19,22:28:07,0.1,1.4,903,813,16,15,1
10/9/19,22:28:08,0.1,1.4,78656,135637,369,370,1
10/9/19,22:28:09,2.4,1.4,70149,92658,730,731,1
10/9/19,22:28:10,3.4,1.5,86736,104063,1068,1069,1
10/9/19,22:28:11,3,1.5,97832,145959,842,856,1
10/9/19,22:28:12,3.4,1.5,40933,47065,491,487,1
10/9/19,22:28:13,2.8,1.5,125014,166740,1308,1315,1
10/9/19,22:28:14,2.8,1.5,79424,110105,730,723,1
10/9/19,22:28:15,3.1,1.6,45446,60822,457,458,1
10/9/19,22:28:16,1.7,1.6,38210,58045,284,281,2
10/9/19,22:28:17,3.1,1.6,1422,1006,18,14,2
10/9/19,22:28:18,1.2,1.6,38513,57101,319,323,2
10/9/19,22:28:19,0.1,1.6,0,432,0,6,2
10/9/19,22:28:20,0,1.6,1928,4611,18,31,2
10/9/19,22:28:21,0.3,1.6,2828,2958,30,31,2
