Date,Time,HostCPU%,HostMem%,Bytes_Sent,Bytes_Recv,Packets_Sent,Packets_Recv,Clients
10/9/2019,19:07:16,0,1.4,0,0,0,0,1
10/9/2019,19:07:17,0.1,1.4,0,187,0,2,1
10/9/2019,19:07:18,0.1,1.4,0,368,0,5,1
10/9/2019,19:07:19,0.1,1.4,0,488,0,3,1
10/9/2019,19:07:20,0,1.4,0,1154,0,8,1
10/9/2019,19:07:21,0,1.4,0,123,0,1,1
10/9/2019,19:07:22,0.1,1.4,0,0,0,0,1
10/9/2019,19:07:23,0,1.4,0,187,0,2,1
10/9/2019,19:07:24,0,1.4,0,64,0,1,1
10/9/2019,19:07:25,0,1.4,0,123,0,1,1
10/9/2019,19:07:26,0.1,1.4,0,0,0,0,1
10/9/2019,19:07:27,0,1.4,0,123,0,1,1
10/9/2019,19:07:28,0.1,1.4,0,64,0,1,1
10/9/2019,19:07:29,0.1,1.4,0,187,0,2,1
10/9/2019,19:07:30,0.1,1.4,0,0,0,0,1
10/9/2019,19:07:31,0,1.4,0,187,0,2,1
10/9/2019,19:07:32,0,1.4,4010,1104,9,11,1
10/9/2019,19:07:33,0.2,1.4,65614,8664,128,130,1
10/9/2019,19:07:34,0.1,1.4,3855,1572,22,24,2
10/9/2019,19:07:35,0.7,1.4,67020,23796,358,362,2
10/9/2019,19:07:36,0.6,1.4,33897,10844,163,165,2
10/9/2019,19:07:37,0.5,1.4,34864,10273,158,157,2
10/9/2019,19:07:38,0.1,1.4,11015,4636,54,62,2
10/9/2019,19:07:39,0,1.4,64,1618,1,11,2
10/9/2019,19:07:40,0.2,1.4,140,192,2,3,2
10/9/2019,19:07:41,0.1,1.4,1289,1243,7,12,2
10/9/2019,19:07:42,0.1,1.4,64,439,1,4,2
10/9/2019,19:07:43,0.1,1.4,193,379,3,5,2
10/9/2019,19:07:44,0.1,1.4,0,1598,0,4,2
10/9/2019,19:07:45,0.1,1.4,0,123,0,1,2
10/9/2019,19:07:46,0.1,1.4,0,0,0,0,2
10/9/2019,19:07:47,0.1,1.4,67,315,1,4,2
10/9/2019,19:07:48,0.2,1.4,263,448,4,7,2
10/9/2019,19:07:49,0.1,1.4,0,799,0,5,2
10/9/2019,19:07:50,0.6,1.4,2079,2484,10,12,2
10/9/2019,19:07:51,2.4,1.4,1100662,46117,761,554,2
10/9/2019,19:07:52,0.1,1.4,67,64,1,1,2
10/9/2019,19:07:53,0.1,1.4,193,315,3,4,2
10/9/2019,19:07:54,0.1,1.4,0,0,0,0,2
10/9/2019,19:07:55,0.1,1.4,0,123,0,1,2
10/9/2019,19:07:56,0.1,1.4,140,128,2,2,2
10/9/2019,19:07:57,0.1,1.4,67,187,1,2,2
10/9/2019,19:07:58,0.1,1.4,193,496,3,7,2
10/9/2019,19:07:59,0,1.4,0,1213,0,8,2
10/9/2019,19:08:00,0.1,1.4,0,247,0,1,2
10/9/2019,19:08:01,0.2,1.4,64,187,1,2,2
10/9/2019,19:08:02,0.2,1.4,0,123,0,1,2
10/9/2019,19:08:03,0.1,1.4,1806,776,12,12,2
10/9/2019,19:08:04,0.1,1.4,210,315,3,4,2
10/9/2019,19:08:06,0.2,1.4,13755,7816,119,119,2
10/9/2019,19:08:07,0.4,1.4,2098,1649,23,24,2
10/9/2019,19:08:08,0.2,1.4,0,0,0,0,2
10/9/2019,19:08:09,0.1,1.4,324,443,5,6,2
10/9/2019,19:08:10,0.1,1.4,0,0,0,0,2
10/9/2019,19:08:11,0.1,1.4,115,464,1,3,2
10/9/2019,19:08:12,0.1,1.4,1971,1208,14,13,2
10/9/2019,19:08:13,0.1,1.4,274,445,4,6,2
10/9/2019,19:08:14,0,1.4,260,320,4,5,2
10/9/2019,19:08:15,0.1,1.4,0,1785,0,6,2
10/9/2019,19:08:16,0,1.4,0,64,0,1,2
10/9/2019,19:08:17,0.1,1.4,0,187,0,2,2
10/9/2019,19:08:18,0.2,1.4,0,128,0,2,2
10/9/2019,19:08:19,0.2,1.4,65939,9930,133,142,3
10/9/2019,19:08:20,0.1,1.4,18433,5532,71,75,3
10/9/2019,19:08:21,0.4,1.4,48247,15611,241,248,3
10/9/2019,19:08:22,0.7,1.4,67380,26613,416,398,3
10/9/2019,19:08:23,0.4,1.4,9527,2783,41,42,3
10/9/2019,19:08:24,0.1,1.4,450,448,7,7,3
10/9/2019,19:08:25,0.1,1.4,134,251,2,3,3
10/9/2019,19:08:26,0.1,1.4,0,0,0,0,3
10/9/2019,19:08:27,0.1,1.4,0,251,0,3,3
10/9/2019,19:08:28,0.1,1.4,460,380,4,5,3
10/9/2019,19:08:29,0.3,1.4,10032,3379,51,49,3
10/9/2019,19:08:30,0.4,1.4,824,602,8,8,3
10/9/2019,19:08:31,0.1,1.4,0,187,0,2,3
10/9/2019,19:08:32,0.1,1.4,0,382,0,3,3
10/9/2019,19:08:33,0.1,1.4,0,187,0,2,3
10/9/2019,19:08:34,0.1,1.4,386,512,6,8,3
10/9/2019,19:08:35,0.1,1.4,134,379,2,5,3
10/9/2019,19:08:36,0,1.4,0,128,0,2,3
10/9/2019,19:08:37,0.1,1.4,0,187,0,2,3
10/9/2019,19:08:38,0.1,1.4,128,194,2,3,3
10/9/2019,19:08:39,0.1,1.4,450,939,7,13,3
10/9/2019,19:08:40,0.1,1.4,205,1476,3,13,3
10/9/2019,19:08:41,0.2,1.4,65415,8406,125,126,4
10/9/2019,19:08:42,0.1,1.4,19897,4998,77,76,4
10/9/2019,19:08:43,0.2,1.4,128,443,2,6,4
10/9/2019,19:08:44,0.3,1.4,54075,19027,287,291,4
10/9/2019,19:08:45,0.3,1.4,33750,14181,193,195,4
10/9/2019,19:08:46,0.1,1.4,3894,1388,36,17,4
10/9/2019,19:08:47,0.7,1.4,33983,16473,259,251,4
10/9/2019,19:08:48,0.1,1.4,128,128,2,2,4
10/9/2019,19:08:49,0.2,1.4,451,936,7,10,4
10/9/2019,19:08:50,0.1,1.4,0,64,0,1,4
10/9/2019,19:08:51,0.1,1.4,201,562,3,5,4
10/9/2019,19:08:52,0.1,1.4,246,380,2,5,4
10/9/2019,19:08:53,0.1,1.4,128,315,2,4,4
10/9/2019,19:08:54,0,1.4,451,448,7,7,4
10/9/2019,19:08:55,0.1,1.4,0,187,0,2,4
10/9/2019,19:08:56,0.1,1.4,329,450,5,7,4
10/9/2019,19:08:57,0.1,1.4,0,123,0,1,4
10/9/2019,19:08:58,0.1,1.4,199,386,3,7,4
10/9/2019,19:08:59,0.2,1.4,65931,9286,133,138,5
10/9/2019,19:09:00,0.1,1.4,21920,6547,90,88,5
10/9/2019,19:09:01,0.1,1.4,128,315,2,4,5
10/9/2019,19:09:02,0.3,1.4,44875,14834,243,235,5
10/9/2019,19:09:03,0.4,1.4,42911,16341,237,245,5
10/9/2019,19:09:04,0,1.4,580,640,9,10,5
10/9/2019,19:09:05,0.1,1.4,2612,1355,17,20,5
10/9/2019,19:09:06,0.5,1.4,452,512,7,8,5
10/9/2019,19:09:07,0.3,1.4,5172,2501,52,34,5
10/9/2019,19:09:08,0.1,1.4,912,606,10,9,5
10/9/2019,19:09:09,0.1,1.4,860,1019,13,15,5
10/9/2019,19:09:10,0.1,1.4,0,0,0,0,5
10/9/2019,19:09:11,0.1,1.4,128,315,2,4,5
10/9/2019,19:09:12,0.1,1.4,268,320,4,5,5
10/9/2019,19:09:13,0.1,1.4,64,315,1,5,5
