Date,Time,HostCPU%,HostMem%,Bytes_Sent,Bytes_Recv,Packets_Sent,Packets_Recv,Clients
10/9/2019,19:19:05,7.7,5.5,0,0,0,0,0
10/9/2019,19:19:06,0.4,5.5,7280,6832,21,21,0
10/9/2019,19:19:07,0.2,5.5,10922,10161,37,42,0
10/9/2019,19:19:08,0.2,5.5,6484,6844,30,31,0
10/9/2019,19:19:09,0.1,5.5,7475,7168,23,25,0
10/9/2019,19:19:10,0.2,5.5,7926,6942,22,23,0
10/9/2019,19:19:11,0.2,5.5,5715,5388,27,24,0
10/9/2019,19:19:12,0.2,5.5,9413,9239,26,31,0
10/9/2019,19:19:13,0.2,5.5,9941,10288,31,33,0
10/9/2019,19:19:14,0.2,5.5,5141,4897,20,19,0
10/9/2019,19:19:15,0.1,5.5,9744,10811,51,50,0
10/9/2019,19:19:16,0.4,5.5,8049,7161,24,27,0
10/9/2019,19:19:17,0.2,5.5,7369,7414,25,29,0
10/9/2019,19:19:18,0.2,5.5,7782,7062,27,25,0
10/9/2019,19:19:19,0.2,5.5,8560,7541,30,30,0
10/9/2019,19:19:20,0.2,5.5,5222,5014,21,21,0
10/9/2019,19:19:21,0.2,5.5,7399,6956,22,21,0
10/9/2019,19:19:22,0.2,5.5,9855,8989,24,27,0
10/9/2019,19:19:23,0.2,5.5,6181,5402,32,24,0
10/9/2019,19:19:24,0.2,5.5,3311,2909,17,16,0
10/9/2019,19:19:25,0.2,5.5,7976,7165,22,25,0
10/9/2019,19:19:26,0.3,5.5,5105,4795,19,17,2
10/9/2019,19:19:27,0.2,5.5,7498,7928,26,32,2
10/9/2019,19:19:28,0.2,5.5,12332,12102,49,56,2
10/9/2019,19:19:29,0.3,5.4,5670,5679,28,30,2
10/9/2019,19:19:30,0.2,5.4,4084,4142,6,9,2
10/9/2019,19:19:31,0.3,5.4,9290,8673,13,23,2
10/9/2019,19:19:32,0.2,5.4,6567,6805,16,23,2
10/9/2019,19:19:33,0.2,5.4,451,228,5,2,2
10/9/2019,19:19:34,0.3,5.4,77454,77440,258,260,2
10/9/2019,19:19:35,0.6,5.4,28066,28271,151,162,2
10/9/2019,19:19:36,0.7,5.4,69349,69399,559,560,2
10/9/2019,19:19:37,0.6,5.4,47548,47757,331,336,2
10/9/2019,19:19:38,0.5,5.4,28112,26784,171,171,2
10/9/2019,19:19:39,0.3,5.4,5981,6138,35,39,2
10/9/2019,19:19:40,0.2,5.4,4287,4285,9,11,2
10/9/2019,19:19:41,0.2,5.4,9171,8350,12,17,2
10/9/2019,19:19:42,0.2,5.4,6476,6704,14,21,2
