Date,Time,HostCPU%,HostMem%,Bytes_Sent,Bytes_Recv,Packets_Sent,Packets_Recv,Clients
10/9/2019,1:01:05,0,3.7,0,0,0,0,0
10/9/2019,1:01:06,0.2,3.7,4471,4256,10,9,1
10/9/2019,1:01:07,1.8,3.7,4011,4025,5,7,1
10/9/2019,1:01:08,0.3,3.7,9043,8226,10,15,1
10/9/2019,1:01:09,0.1,3.7,10483,5899,22,27,1
10/9/2019,1:01:10,0.2,3.7,7825,9342,12,19,1
10/9/2019,1:01:11,0.2,3.7,5246,4186,8,10,1
10/9/2019,1:01:12,0.4,3.7,4133,4254,6,9,1
10/9/2019,1:01:13,0.2,3.7,4008,4024,5,7,1
10/9/2019,1:01:14,0.1,3.7,11968,14081,45,62,1
10/9/2019,1:01:15,0.2,3.7,6339,6321,11,15,1
10/9/2019,1:01:16,0.2,3.7,5562,6309,17,23,1
10/9/2019,1:01:17,0.1,3.7,9108,8354,10,15,2
10/9/2019,1:01:18,0.3,3.7,4154,4261,6,9,2
10/9/2019,1:01:19,0.2,3.7,4008,4024,5,7,2
10/9/2019,1:01:20,0.1,3.7,11957,12108,21,33,2
10/9/2019,1:01:21,0.2,3.7,6545,6223,24,22,2
10/9/2019,1:01:22,0.3,3.7,4136,4255,6,9,2
10/9/2019,1:01:23,0.2,3.7,8936,8096,10,15,2
10/9/2019,1:01:24,0.1,3.7,179,448,2,6,2
10/9/2019,1:01:25,0.2,3.7,6251,6409,8,13,2
10/9/2019,1:01:26,0.2,3.7,9653,8580,20,21,2
10/9/2019,1:01:27,0.1,3.7,7100,7416,29,36,2
10/9/2019,1:01:28,0.2,3.7,4237,4432,7,11,2
10/9/2019,1:01:29,0.2,3.7,4157,4307,7,11,2
10/9/2019,1:01:30,0.2,3.7,11114,10507,13,23,2
10/9/2019,1:01:31,0.1,3.7,4387,4029,9,7,2
10/9/2019,1:01:32,0.3,3.7,4265,4478,8,13,2
10/9/2019,1:01:33,0.3,3.7,8974,8619,11,20,2
10/9/2019,1:01:34,0.2,3.7,4754,5436,12,21,2
10/9/2019,1:01:35,0.2,3.7,9101,9153,29,34,3
10/9/2019,1:01:36,0.2,3.7,17094,17185,68,80,3
10/9/2019,1:01:37,0.2,3.7,4083,4139,6,9,3
10/9/2019,1:01:38,0.2,3.7,4157,4262,6,9,3
10/9/2019,1:01:39,0.2,3.7,8883,7995,9,13,3
10/9/2019,1:01:40,0.1,3.7,3787,5528,7,16,3
10/9/2019,1:01:41,0.2,3.7,4340,4024,9,7,3
10/9/2019,1:01:42,0.4,3.7,9360,8920,12,21,3
10/9/2019,1:01:43,0.1,3.7,4098,4144,6,9,3
10/9/2019,1:01:44,0.1,3.7,4121,4250,6,9,3
10/9/2019,1:01:45,0.2,3.7,11148,10396,13,23,3
